t(s),solute value 4.88e-05,solute value 2.00e-05
0.2,0.05096129277775385,49.72063568394639
0.4,0.22742502214781,50.64540017796414
0.6000000000000001,0.5767670500946251,50.67297223978301
0.8,1.10306274218801,50.67917783475882
1.0,1.7794677377354629,50.682832408971805
1.2,2.566586472392071,50.68536870616375
1.4,3.425325987822568,50.6872633273814
1.5999999999999999,4.322916919712311,50.68874825135013
1.7999999999999998,5.234413529760877,50.6899526869706
1.9999999999999998,6.142014135976033,50.69095512866439
2.1999999999999997,7.033653408263617,50.691806391822894
2.4,7.901564043523427,50.69254102141873
2.6,8.741066352941074,50.69318343202035
2.8000000000000003,9.549636207530984,50.69375143360173
3.0000000000000004,10.326220875563562,50.69425836463031
3.2000000000000006,11.070750684953934,50.69471443926071
3.400000000000001,11.783796493535817,50.69512762944382
3.600000000000001,12.466332275527389,50.69550426054232
3.800000000000001,13.11957210839261,50.69584942431022
4.000000000000001,13.74485926186699,50.69616727193812
4.200000000000001,14.34359154458197,50.696461226269385
4.400000000000001,14.91717178106156,50.69673413828083
4.600000000000001,15.46697565269199,50.696988404341354
4.800000000000002,15.994331497571753,50.69722605536174
5.000000000000002,16.500508311374297,50.69744882546733
5.200000000000002,16.98670933689509,50.69765820552962
5.400000000000002,17.454069426095494,50.69785548535057
5.600000000000002,17.903654912214503,50.69804178723693
5.8000000000000025,18.336465115295894,50.69821809296714
6.000000000000003,18.75343487373387,50.69838526563473
6.200000000000003,19.155437682709362,50.69854406748027
6.400000000000003,19.54328915222214,50.69869517455431
6.600000000000003,19.91775058981536,50.69883918885613
6.800000000000003,20.279532577835706,50.69897664844631
7.0000000000000036,20.629298460389087,50.69910803592106
7.200000000000004,20.96766768678109,50.699233785552835
7.400000000000004,21.29521898019915,50.69935428933867
7.600000000000004,21.61249331553477,50.69946990214811
7.800000000000004,21.91999670055895,50.699580946125025
8.000000000000004,22.218202761569906,50.699687714468
8.200000000000003,22.507555139134507,50.69979047469007
8.400000000000002,22.78846970235885,50.69988947144075
8.600000000000001,23.061336591758444,50.69998492895794
8.8,23.326522101617496,50.70007705320589
9.0,23.584370412988292,50.70016603374556
9.2,23.83520518836927,50.700252045376025
9.399999999999999,24.079331038744854,50.70033524957945
9.599999999999998,24.31703487316315,50.70041579579668
9.799999999999997,24.54858714043404,50.70049382255651
9.999999999999996,24.774242971894612,50.70056945847801
10.199999999999996,24.99424323354196,50.7006428231624
10.399999999999995,25.208815495196113,50.7007140279887
10.599999999999994,25.41817492374076,50.700783176824984
10.799999999999994,25.622525106905652,50.700850366665776
10.999999999999993,25.822058813505947,50.70091568820447
11.199999999999992,26.01695869554327,50.70097922634831
11.399999999999991,26.207397937100346,50.701041060682876
11.59999999999999,26.39354085452615,50.701101265891495
11.79999999999999,26.575543452009022,50.70115991213502
11.99999999999999,26.75355393627019,50.70121706539604
12.199999999999989,26.927713193776817,50.70127278779157
12.399999999999988,27.098155233570033,50.70132713785745
12.599999999999987,27.265007598527358,50.70138017080761
12.799999999999986,27.4283917476276,50.70143193877054
12.999999999999986,27.588423411558516,50.70148249100562
13.199999999999985,27.745212923800285,50.70153187410099
13.399999999999984,27.89886552913023,50.701580132155
13.599999999999984,28.04948167132338,50.701627306942825
13.799999999999983,28.1971572616691,50.70167343806956
13.999999999999982,28.34198392978343,50.70171856311117
14.199999999999982,28.484049258069458,50.70176271774437
14.39999999999998,28.62343700106226,50.701805935866545
14.59999999999998,28.760227290790116,50.701848249706444
14.79999999999998,28.89449682918805,50.70188968992664
14.999999999999979,29.026319068513207,50.70193028571841
15.199999999999978,29.155764380632668,50.70197006488972
15.399999999999977,29.282900215982576,50.7020090539468
15.599999999999977,29.407791252932235,50.70204727817006
15.799999999999976,29.530499538227414,50.70208476168459
15.999999999999975,29.651084619132924,50.70212152752589
16.199999999999974,29.769603667845157,50.70215759770103
16.399999999999974,29.886111598700445,50.7021929932458
16.599999999999973,30.00066117866372,50.70222773427804
16.799999999999972,30.113303131544757,50.70226184004743
16.99999999999997,30.22408623635479,50.7022953289821
17.19999999999997,30.33305742018501,50.70232821873234
17.39999999999997,30.440261845959853,50.70236052621141
17.59999999999997,30.545742995391564,50.70239226763392
17.79999999999997,30.649542747438634,50.702423458551806
17.999999999999968,30.751701452548545,50.70245411388815
18.199999999999967,30.85225800294501,50.702484247968926
18.399999999999967,30.95124989920138,50.70251387455286
18.599999999999966,31.048713313324786,50.702543006859585
18.799999999999965,31.144683148559803,50.70257165759612
18.999999999999964,31.239193096106106,50.70259983898185
19.199999999999964,31.332275688931155,50.70262756277202
19.399999999999963,31.423962352846765,50.70265484028001
19.599999999999962,31.51428345500705,50.702681682398286
19.79999999999996,31.603268349974833,50.70270809961821
19.99999999999996,31.690945423493893,50.70273410204877
20.19999999999996,31.777342134095587,50.70275969943436
20.39999999999996,31.86248505266009,50.70278490117147
20.59999999999996,31.946399900044817,50.70280971632458
20.799999999999958,32.029111582885555,50.70283415364125
20.999999999999957,32.110644227669354,50.702858221566274
21.199999999999957,32.191021213171844,50.70288192825527
21.399999999999956,32.27026520134631,50.702905281587476
21.599999999999955,32.34839816674644,50.702928289177855
21.799999999999955,32.4254414245597,50.70295095838871
21.999999999999954,32.50141565732388,50.70297329634061
22.199999999999953,32.576340940394935,50.70299530992276
22.399999999999952,32.650236766230464,50.70301700580299
22.59999999999995,32.7231220675494,50.70303839043707
22.79999999999995,32.79501523942479,50.70305947007772
22.99999999999995,32.8659341603639,50.70308025078306
23.19999999999995,32.93589621242612,50.703100738424766
