time,conc_point1,conc_point2
0,0,0
0.2,0.052474071673134,49.718132005142
0.4,0.23338566583423,50.645291260438
0.6,0.59018625944878,50.672966536225
0.8,1.1259916476233,50.679176369949
1,1.8127460559222,50.682831552771
1.2,2.6100798292485,50.68536811348
1.4,3.478294177592,50.687262885144
1.6,4.3843268947224,50.688747904981
1.8,5.3031490741756,50.689952406158
2,6.2169957676073,50.690954895026
2.2,7.1138967595222,50.69180619347
2.4,7.9862012821566,50.692540850278
2.6,8.8293475354364,50.693183282387
2.8,9.6409208936366,50.693751301318
3,10.419965844072,50.694258246583
3.2,11.166496833991,50.694714333066
3.4,11.881156422269,50.695127533243
3.6,12.564979175699,50.69550417286
3.8,13.219230141585,50.695849343958
4,13.845295377787,50.696167197949
4.2,14.444608599895,50.696461157846
4.4,15.018602787388,50.696734074758
4.6,15.568678983226,50.696988345161
4.8,16.096186896812,50.697226000051
5,16.602413572478,50.697448773621
5.2,17.088577531687,50.697658156801
5.4,17.555826591665,50.69785543944
5.6,18.005238114604,50.698041743882
5.8,18.437820824843,50.698218051939
6,18.854517598348,50.698385226733
6.2,19.256208815047,50.698544030527
6.4,19.643715994641,50.698695139392
6.6,20.017805527451,50.698839155345
6.8,20.379192375436,50.69897661646
7,20.728543662816,50.699108005348
7.2,21.066482106593,50.699233756291
7.4,21.393589258587,50.699354261297
7.6,21.710408545219,50.699469875243
7.8,22.017448101155,50.699580920282
8,22.315183399519,50.699687689617
8.2,22.604059685564,50.699790450769
8.4,22.884494223325,50.699889448391
8.6,23.156878366186,50.699984906726
8.8,23.421579463005,50.700077031743
9,23.678942611527,50.700166013005
9.2,23.929292270663,50.700252025316
9.4,24.172933742709,50.700335230159
9.6,24.410154536075,50.700415776978
9.8,24.641225618364,50.700493804303
10,24.866402569038,50.700569440756
10.2,25.085926640156,50.700642805938
10.4,25.300025733041,50.70071401123
10.6,25.508915298074,50.700783160502
10.8,25.71279916421,50.700850350747
11,25.911870304237,50.70091567266
11.2,26.106311541284,50.700979211148
11.4,26.296296201587,50.701041045796
11.6,26.481988718086,50.701101251288
11.8,26.663545188994,50.701159897784
12,26.841113895147,50.701217051265
12.2,27.014835779555,50.701272773849
12.4,27.184844892303,50.701327124069
12.6,27.351268803648,50.701380157138
12.8,27.51422898791,50.701431925184
13,27.673841180525,50.701482477464
13.2,27.830215710409,50.701531860564
13.4,27.983457809605,50.701580118582
13.6,28.133667902001,50.70162729329
13.8,28.280941872747,50.701673424291
14,28.425371319878,50.70171854916
14.2,28.567043789494,50.701762703569
14.4,28.706042995741,50.701805921415
14.6,28.842449026755,50.701848234923
14.8,28.976338537579,50.701889674754
15,29.107784931045,50.701930270096
15.2,29.236858527461,50.701970048754
15.4,29.363626723947,50.702009037231
15.6,29.488154144118,50.702047260805
15.8,29.610502778823,50.702084743599
16,29.730732118547,50.702121508644
16.2,29.84889927806,50.702157577945
16.4,29.96505911383,50.702192972535
16.6,30.0792643347,50.702227712528
16.8,30.191565606267,50.702261817171
17,30.302011649387,50.702295304889
17.2,30.410649333186,50.70232819333
17.4,30.517523762923,50.702360499404
17.6,30.622678363055,50.702392239322
17.8,30.726154955779,50.702423428634
18,30.827993835358,50.70245408226
18.2,30.928233838474,50.702484214523
18.4,31.026912410866,50.702513839179
18.6,31.124065670464,50.702542969445
18.8,31.219728467235,50.702571618025
19,31.313934439947,50.702599797137
