time,point0,point10,point12
0,0,0,0
0.05,1,0.40253463036912,4.8667562120845e-05
0.1,1,0.44506728109063,0.00027710979168669
0.15,1,0.45839753113397,0.00086748607691074
0.2,1,0.46523018866681,0.0019886006202571
0.25,1,0.46953559757626,0.0037479416698836
0.3,1,0.47256111852538,0.0061780753006195
0.35,0.99999999999999,0.47483534557177,0.0092485143765823
0.4,0.99999999999996,0.47662483030727,0.012887567561558
0.45,0.99999999999985,0.47808026089696,0.017003334936359
0.5,0.99999999999953,0.47929402714854,0.021499296338823
0.55,0.99999999999866,0.48032632126993,0.026283994491228
0.6,0.99999999999642,0.48121825370648,0.031276029791685
0.65,0.99999999999109,0.48199898278018,0.036405906485038
0.7,0.99999999997907,0.48268983881016,0.041616014531712
0.75,0.99999999995342,0.48330683315335,0.046859645388034
0.8,0.99999999990124,0.48386224984285,0.052099604203008
0.85,0.99999999979967,0.48436569148107,0.057306740060206
0.9,0.99999999960976,0.4848247875315,0.062458560524137
0.95,0.9999999992675,0.48524568664275,0.067538003837187
1,0.99999999867121,0.48563340673409,0.072532390200449
1.05,0.99999999766423,0.48599208898067,0.077432546783933
1.1,0.99999999601201,0.48632518539058,0.082232088909883
1.15,0.99999999337242,0.48663559956139,0.086926835684826
1.2,0.99999998925845,0.48692579382738,0.091514338334377
1.25,0.99999998299228,0.48719787188653,0.095993501404722
1.3,0.99999997365005,0.48745364327364,0.1003642796263
1.35,0.99999995999688,0.48769467421208,0.1046274359627
1.4,0.99999994041178,0.48792232811919,0.10878434889463
1.45,0.99999991280259,0.48813779816444,0.11283685919716
1.5,0.99999987451132,0.48834213365945,0.11678714833383
1.55,0.99999982221055,0.48853626161494,0.12063764213302
1.6,0.99999975179197,0.48872100447691,0.12439093466934
1.65,0.99999965824819,0.48889709481732,0.12804972828837
1.7,0.99999953554954,0.48906518757862,0.13161678652876
1.75,0.99999937651743,0.48922587033939,0.13509489734839
1.8,0.99999917269625,0.48937967196806,0.13848684458213
1.85,0.99999891422565,0.48952706995579,0.14179538597449
1.9,0.99999858971531,0.48966849666013,0.14502323646134
1.95,0.99999818612397,0.48980434464569,0.14817305563928
2,0.99999768864487,0.48993497127229,0.15124743857171
2.05,0.99999708059899,0.49006070265261,0.15424890924923
2.1,0.99999634333806,0.49018183707936,0.15717991615634
2.15,0.9999954561584,0.49029864800402,0.16004282950431
2.2,0.99999439622709,0.49041138663471,0.16283993977656
2.25,0.99999313852109,0.49052028420968,0.1655734573019
2.3,0.99999165578039,0.49062555399299,0.16824551262721
2.35,0.99998991847541,0.49072739303182,0.17085815750561
2.4,0.99998789478902,0.4908259837082,0.1734133663526
2.45,0.99998555061326,0.49092149511305,0.1759130380516
2.5,0.99998284956058,0.49101408426615,0.17835899801417
2.55,0.99997975298918,0.49110389720186,0.18075300041898
2.6,0.99997622004207,0.49119106993795,0.18309673056907
2.65,0.99997220769917,0.49127572934195,0.18539180731953
2.7,0.9999676708416,0.49135799390764,0.18763978553763
2.75,0.99996256232744,0.49143797445248,0.18984215856574
2.8,0.99995683307789,0.49151577474541,0.19200036066384
2.85,0.99995043217289,0.49159149207293,0.19411576941395
2.9,0.99994330695518,0.49166521775066,0.1961897080729
2.95,0.9999354031417,0.49173703758632,0.19822344786348
3,0.99992666494128,0.4918070322997,0.20021821019681
3.05,0.99991703517761,0.49187527790403,0.20217516882086
3.1,0.9999064554164,0.49194184605305,0.20409545189203
3.15,0.99989486609578,0.49200680435728,0.20598014396801
3.2,0.99988220665897,0.49207021667269,0.20783028792129
3.25,0.99986841568831,0.4921321433646,0.20964688677358
3.3,0.99985343103978,0.49219264154921,0.21143090545215
3.35,0.99983718997726,0.49225176531508,0.21318327246938
3.4,0.99981962930574,0.49230956592635,0.21490488152766
3.45,0.99980068550289,0.49236609200959,0.21659659305155
3.5,0.99978029484824,0.49242138972579,0.2182592356497
3.55,0.99975839354959,0.49247550292873,0.21989360750904
3.6,0.99973491786606,0.4925284733112,0.22150047772376
